Timestamp,scan,PosX,PosY,PosZ,RotX,RotY,RotZ,Joint0RotX,Joint0RotY,Joint0RotZ,Joint1RotX,Joint1RotY,Joint1RotZ
0.0000,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,2.1582,295.9119,272.7484,0.6946,250.6008,133.8330
0.0200,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,2.1241,308.9117,272.7472,0.6129,250.7454,132.8886
0.0717,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,2.0361,310.1117,272.7430,0.4174,251.1174,130.4458
0.0878,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,2.0086,310.4856,272.7413,0.3611,251.2328,129.6838
0.0952,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.9960,310.6581,272.7405,0.3358,251.2858,129.3322
0.1026,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.9835,310.8287,272.7396,0.3113,251.3383,128.9845
0.1085,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.9734,310.9661,272.7389,0.2918,251.3805,128.7043
0.1144,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.9634,311.1024,272.7382,0.2729,251.4222,128.4265
0.1204,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.9531,311.2433,272.7374,0.2535,251.4654,128.1390
0.1278,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.9405,311.4148,272.7363,0.2304,251.5178,127.7891
0.1339,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.9301,311.5571,272.7355,0.2116,251.5613,127.4988
0.1399,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.9200,311.6949,272.7346,0.1936,251.6033,127.2175
0.1455,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.9104,311.8264,272.7338,0.1768,251.6433,126.9493
0.1518,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.8997,311.9727,272.7328,0.1583,251.6878,126.6505
0.1576,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.8899,312.1062,272.7319,0.1417,251.7283,126.3780
0.1636,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.8798,312.2449,272.7310,0.1248,251.7704,126.0948
0.1698,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.8692,312.3897,272.7300,0.1074,251.8142,125.7991
0.1760,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.8587,312.5337,272.7289,0.0905,251.8577,125.5050
0.1819,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.8486,312.6708,272.7279,0.0746,251.8990,125.2249
0.1879,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.8385,312.8098,272.7268,0.0589,251.9409,124.9411
0.1938,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.8285,312.9469,272.7258,0.0436,251.9821,124.6609
0.1995,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.8187,313.0801,272.7247,0.0290,252.0220,124.3886
0.2056,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.8085,313.2209,272.7236,0.0139,252.0642,124.1008
0.2116,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.7983,313.3596,272.7224,-0.0007,252.1057,123.8173
0.2175,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.7884,313.4958,272.7212,359.9852,252.1463,123.5388
0.2232,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.7787,313.6286,272.7201,359.9718,252.1858,123.2674
0.2290,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.7688,313.7638,272.7189,359.9583,252.2260,122.9909
0.2346,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.7593,313.8939,272.7177,359.9456,252.2646,122.7248
0.2405,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.7494,314.0308,272.7165,359.9326,252.3051,122.4449
0.2462,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.7398,314.1627,272.7152,359.9203,252.3441,122.1750
0.2520,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.7299,314.2981,272.7139,359.9078,252.3840,121.8980
0.2581,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.7196,314.4391,272.7126,359.8952,252.4255,121.6094
0.2637,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.7100,314.5706,272.7112,359.8837,252.4641,121.3404
0.2705,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.6986,314.7283,272.7097,359.8702,252.5102,121.0175
0.2764,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.6886,314.8647,272.7083,359.8589,252.5500,120.7383
0.2827,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.6781,315.0098,272.7068,359.8470,252.5923,120.4414
0.2888,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.6677,315.1525,272.7053,359.8357,252.6338,120.1492
0.2943,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.6585,315.2787,272.7039,359.8260,252.6704,119.8908
0.3006,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.6479,315.4250,272.7023,359.8149,252.7127,119.5910
0.3064,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.6381,315.5604,272.7008,359.8050,252.7517,119.3138
0.3118,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.6289,315.6869,272.6993,359.7959,252.7881,119.0546
0.3178,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.6189,315.8247,272.6978,359.7863,252.8277,118.7723
0.3233,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.6096,315.9522,272.6963,359.7777,252.8642,118.5112
0.3287,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.6005,316.0776,272.6948,359.7694,252.9000,118.2542
0.3345,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.5907,316.2130,272.6932,359.7607,252.9385,117.9768
0.3401,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.5813,316.3433,272.6916,359.7525,252.9756,117.7097
0.3459,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.5716,316.4767,272.6900,359.7445,253.0134,117.4362
0.3515,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.5621,316.6079,272.6883,359.7368,253.0504,117.1674
0.3575,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.5521,316.7467,272.6866,359.7289,253.0895,116.8827
0.3637,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.5417,316.8898,272.6848,359.7210,253.1297,116.5895
0.3693,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.5322,317.0215,272.6830,359.7140,253.1665,116.3195
0.3753,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.5221,317.1607,272.6812,359.7069,253.2054,116.0339
0.3813,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.5121,317.2989,272.6794,359.7001,253.2438,115.7506
0.3872,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.5023,317.4354,272.6775,359.6936,253.2817,115.4705
0.3927,False,71.7853,0.0000,13.5442,270.0000,169.3152,0.0000,1.4929,317.5651,272.6757,359.6877,253.3175,115.2046
