,config,method,model,iou unoptim,iou optim,distance unoptim,distance optim,normal consistency unoptim,normal consistency optim,optimization improvement
0,0,spsr,target,0.689,0.728,0.45,0.39,0.843,0.857,
1,0,spsr,servicer,0.277,0.284,0.359,0.325,0.828,0.829,
2,0,spsr,solar_orbiter,0.655,0.74,0.329,0.176,0.817,0.834,
3,0,spsr,mean,0.54,0.584,0.379,0.297,0.829,0.84,0.04399999999999993
4,,,,,,,,,,
5,0,resr,target,0.748,0.794,0.47,0.391,0.645,0.781,
6,0,resr,servicer,0.3,0.311,0.355,0.228,0.834,0.866,
7,0,resr,solar_orbiter,0.772,0.763,0.22,0.965,0.69,0.707,
8,0,resr,mean,0.607,0.623,0.348,0.528,0.723,0.785,0.016000000000000014
9,,,,,,,,,,
10,0,bpivot,target,0.456,0.538,0.353,0.353,0.891,0.874,
11,0,bpivot,servicer,0.295,0.303,0.24,0.254,0.878,0.866,
12,0,bpivot,solar_orbiter,0.404,0.54,0.148,0.204,0.909,0.869,
13,0,bpivot,mean,0.385,0.461,0.247,0.27,0.893,0.87,0.07600000000000001
14,,,,,,,,,,
15,0,advancing,target,0.547,0.522,0.297,0.3,0.868,0.865,
16,0,advancing,servicer,0.294,0.292,0.235,0.231,0.855,0.854,
17,0,advancing,solar_orbiter,0.614,0.671,0.64,0.557,0.748,0.76,
18,0,advancing,mean,0.485,0.495,0.391,0.363,0.824,0.826,0.010000000000000009
19,,,,,,,,,,
20,0,scale_space,target,0.493,0.485,0.295,0.292,0.855,0.857,
21,0,scale_space,servicer,0.291,0.297,0.206,0.209,0.851,0.856,
22,0,scale_space,solar_orbiter,0.695,0.742,0.225,0.449,0.782,0.764,
23,0,scale_space,mean,0.493,0.508,0.242,0.316,0.83,0.826,0.015000000000000013
24,,,,,,,,,,
25,1,spsr,target,0.746,0.746,0.378,0.379,0.843,0.844,
26,1,spsr,servicer,0.257,0.257,0.474,0.474,0.821,0.82,
27,1,spsr,solar_orbiter,0.678,0.678,0.337,0.336,0.795,0.795,
28,1,spsr,mean,0.561,0.561,0.396,0.397,0.82,0.82,0.0
29,,,,,,,,,,
30,1,resr,target,0.745,0.792,1.26,1.47,0.694,0.749,
31,1,resr,servicer,0.294,0.287,0.332,1.41,0.846,0.841,
32,1,resr,solar_orbiter,0.751,0.751,0.486,3.7,0.744,0.648,
33,1,resr,mean,0.597,0.61,0.693,2.19,0.761,0.746,0.013000000000000012
34,,,,,,,,,,
35,1,bpivot,target,0.487,0.496,0.351,0.365,0.86,0.847,
36,1,bpivot,servicer,0.285,0.281,0.263,0.291,0.86,0.843,
37,1,bpivot,solar_orbiter,0.555,0.572,0.309,0.307,0.827,0.824,
38,1,bpivot,mean,0.442,0.449,0.308,0.321,0.849,0.838,0.007000000000000006
39,,,,,,,,,,
40,1,advancing,target,0.491,0.458,0.317,0.319,0.846,0.84,
41,1,advancing,servicer,0.282,0.278,0.221,0.224,0.857,0.856,
42,1,advancing,solar_orbiter,0.562,0.601,0.671,0.763,0.761,0.747,
43,1,advancing,mean,0.445,0.446,0.403,0.435,0.821,0.815,0.0010000000000000009
44,,,,,,,,,,
45,1,scale_space,target,0.331,0.326,0.375,0.361,0.699,0.705,
46,1,scale_space,servicer,0.271,0.283,0.299,0.275,0.847,0.845,
47,1,scale_space,solar_orbiter,0.402,0.585,1.15,1.13,0.702,0.703,
48,1,scale_space,mean,0.335,0.398,0.607,0.589,0.749,0.751,0.063
49,,,,,,,,,,
50,2,spsr,target,0.687,0.721,0.456,0.393,0.841,0.85,
51,2,spsr,servicer,0.277,0.283,0.359,0.323,0.828,0.826,
52,2,spsr,solar_orbiter,0.683,0.735,0.283,0.184,0.816,0.83,
53,2,spsr,mean,0.549,0.58,0.366,0.3,0.828,0.835,0.030999999999999917
54,,,,,,,,,,
55,2,resr,target,0.756,0.824,0.441,0.722,0.759,0.773,
56,2,resr,servicer,0.302,0.295,0.274,0.69,0.838,0.794,
57,2,resr,solar_orbiter,0.766,0.764,0.171,0.919,0.765,0.746,
58,2,resr,mean,0.608,0.628,0.296,0.777,0.787,0.771,0.020000000000000018
59,,,,,,,,,,
60,2,bpivot,target,0.333,0.511,0.352,0.36,0.833,0.858,
61,2,bpivot,servicer,0.245,0.294,0.243,0.94,0.853,0.82,
62,2,bpivot,solar_orbiter,0.473,0.567,0.16,0.248,0.839,0.849,
63,2,bpivot,mean,0.35,0.457,0.252,0.516,0.842,0.842,0.10700000000000004
64,,,,,,,,,,
65,2,advancing,target,0.494,0.495,0.304,0.301,0.815,0.815,
66,2,advancing,servicer,0.272,0.262,0.21,0.22,0.829,0.824,
67,2,advancing,solar_orbiter,0.683,0.707,0.532,0.507,0.722,0.726,
68,2,advancing,mean,0.483,0.488,0.349,0.343,0.789,0.788,0.0050000000000000044
69,,,,,,,,,,
70,2,scale_space,target,0.485,0.523,0.294,0.293,0.804,0.81,
71,2,scale_space,servicer,0.288,0.286,0.214,0.215,0.827,0.83,
72,2,scale_space,solar_orbiter,0.677,0.736,0.278,0.236,0.728,0.739,
73,2,scale_space,mean,0.483,0.515,0.262,0.248,0.786,0.793,0.03200000000000003
74,,,,,,,,,,
